Month;Product;Organic;Type;Land;Cost per unit;Total_cost;Amount;Weight;Total_weight
3;Chicken;;meat;Sweden;46;120;2;0,9;1,4
3;Chocolate;;other;Switzerland;24;48;2;0,1;0,2
3;Pizza;;other;Germany;30;30;1;0,375;0,375
3;Coffee beans;yes;other;Italy;76;76;1;0,5;0,5
3;Saffran;;veg&fruit;Iran;20;40;2;0,0005;0,001
3;Baby spinach;yes;veg&fruit;Sweden;17;17;1;0,06;0,06
3;Ginger;;veg&fruit;China;6;6;1;0,1;0,1
3;Kapris;;veg&fruit;Italy;20;20;1;0,1;0,1
3;Rucola;;veg&fruit;Sweden;25;25;1;0,2;0,2
3;Buljong;yes;veg&fruit;Switzerland;65;65;1;0,2;0,2
3;Lemon;;veg&fruit;Spain;4;8;2;0,1;0,2
3;Tomat;yes;veg&fruit;Italy;32;32;1;0,25;0,25
3;Äpplemos;yes;veg&fruit;Sweden;18;18;1;0,3;0,3
3;Quorn;yes;veg&fruit;UK;37;37;1;0,3;0,3
3;Chunky Salsa;;veg&fruit;Sweden;24;24;1;0,35;0,35
3;Spinach;;veg&fruit;Sweden;13;13;1;0,4;0,4
3;Lettuce;;veg&fruit;Sweden;17;68;4;0,1;0,4
3;Asparagus;;veg&fruit;Peru;34;68;2;0,2;0,4
3;Celery;;veg&fruit;Sweden;20;20;1;0,45;0,45
3;Green Lentils;yes;veg&fruit;Canada;30;30;1;0,5;0,5
3;Olive Oil Canena;;veg&fruit;Spain;179;179;1;0,5;0,5
3;Juice Mango;;veg&fruit;Sweden / Global;30;30;1;0,5;0,5
3;Leek;;veg&fruit;Holland;8;16;2;0,26;0,52
3;Fennel;;veg&fruit;Sweden;26;26;2;0,6;0,6
3;Zucchini;;veg&fruit;Spain;18;18;2;0,25;0,61
3;Apple;yes;veg&fruit;Sweden;20;20;1;0,7;0,7
3;Raisins;yes;veg&fruit;USA;22;66;3;0,25;0,75
3;Black Eyed Peas;;veg&fruit;Italy;11;22;2;0,4;0,8
3;Kalamata olives;yes;veg&fruit;Greece;32;96;3;0,29;0,87
3;Tomatoes;;veg&fruit;Spain;30;30;1;0,9;0,9
3;Onion;;veg&fruit;Sweden;7;7;1;1;1
3;Clementin;;veg&fruit;Spain;21;21;2;1,4;1,4
3;Tomato cherry;;veg&fruit;Spain;22;132;6;0,25;1,5
3;Olive Oil;;veg&fruit;Spain;32;64;2;0,75;1,5
3;Apple;;veg&fruit;Italy;16;27;3;1,1;1,6
3;Tomato burk;yes;veg&fruit;Italy;16;64;4;0,4;1,6
3;Kiwi;;veg&fruit;Italy;70;70;4;0,8;1,6
3;Carrots;yes;veg&fruit;Sweden;20;40;2;1;2
3;Onion;yes;veg&fruit;Sweden;18;72;4;0,5;2
3;Orange red;;veg&fruit;Italy;41;54;4;2,8;3,8
3;Proviva Blåbär;;veg&fruit;Sweden;20;80;4;1;4
3;Apple;yes;veg&fruit;Italy;20;160;8;0,5;4
3;White wine low alcohol;;wine;Italy;30;30;1;0,25;0,25
3;Wine;;wine;Italy;159;159;1;1,5;1,5
3;Wine;yes;wine;Spain;179;179;1;3;3
4;Lasagne plates;;cereals;Sweden;13;13;1;0,2;0,2
4;Tortilla;;cereals;Sweden;20;20;1;0,38;0,38
4;Pita;;cereals;Holland;19;19;1;0,4;0,4
4;Hard bread;yes;cereals;Sweden;16;32;2;0,25;0,5
4;Spaghetti;;cereals;Italy;23;23;1;0,8;0,8
4;Oats;yes;cereals;Sweden;23;23;1;1;1
4;Rye flakes;yes;cereals;Sweden;17;17;1;1;1
4;Sourdough Bread;yes;cereals;Sweden;30;90;3;0,5;1,5
4;Rice arborio;;cereals;Italy;30;60;2;1;2
4;Bread;;cereals;Sweden;30;150;5;0,6;3
4;Feta;yes;dairy;Greece;25;25;1;0,15;0,15
4;Parmesan cheese;yes;dairy;Italy;53;53;1;0,15;0,15
4;Cheese Västerbotten;;dairy;Sweden;36;36;1;0,2;0,2
4;Creme Fraiche;yes;dairy;Sweden;12;12;1;0,2;0,2
4;Manchego Cheese;;dairy;Spain;33;33;1;0,2;0,2
4;Butter;yes;dairy;Sweden;28;28;1;0,3;0,3
4;Butter bregott;yes;dairy;Sweden;35;35;1;0,6;0,6
4;Cheese Chedar;;dairy;Sweden;62;124;2;0,5;1
4;Cream;yes;dairy;Sweden;11;44;4;0,25;1
4;Egg;yes;dairy;Sweden;26;130;5;0,32;1,6
4;Milk;;dairy;Sweden;12;84;7;1;7
4;A-fil;yes;dairy;Sweden;14;224;16;1;16
4;Sardins;;fish;Portugal;16;16;1;0,1;0,1
4;Mussels;;fish;Canada;62;62;1;0,2;0,2
4;Salmon smoked;;fish;Norway;54;54;1;0,2;0,2
4;Cod;yes;fish;Norway;30;30;1;0,4;0,4
4;Salmon;yes;fish;Norway;63;126;2;0,28;0,56
4;Salmon;;fish;Norway;;116;1;;1
4;Prosciutto;;meat;Italy;36;36;1;0,08;0,08
4;Beef loin;yes;meat;Sweden;90;90;1;0,3;0,3
4;Pate;;meat;Sweden;15;30;2;0,2;0,4
4;Grounded beef;yes;meat;Sweden;45;45;1;0,5;0,5
4;Beef;yes;meat;Sweden;;107;1;;0,5
4;Reindeer;yes;meat;Sweden;41;164;4;0,24;0,96
4;Chicken;yes;meat;Sweden;;100;1;1;1
4;Chicken;;meat;Sweden;;100;2;;1,2
4;Chocolate;;other;Switzerland;24;24;1;0,1;0,1
4;Coffee beans;yes;other;Italy;76;76;1;0,5;0,5
4;Pizza;;other;Germany;30;60;2;0,375;0,75
4;Saffran;;veg&fruit;Iran;20;40;2;0,0005;0,001
4;Baby spinach;yes;veg&fruit;Sweden;17;17;1;0,06;0,06
4;Rucula;yes;veg&fruit;Sweden;17;17;1;0,065;0,065
4;Kapris;;veg&fruit;Italy;20;20;1;0,1;0,1
4;Garlic;yes;veg&fruit;Spain;20;20;1;0,2;0,2
4;Hazelnuts;;veg&fruit;Sweden;26;26;1;0,2;0,2
4;Asparagus;;veg&fruit;Peru;34;34;1;0,2;0,2
4;Lemon;;veg&fruit;Spain;4;8;2;0,1;0,2
4;Zucchini;;veg&fruit;Spain;;12;1;;0,2
4;Raisins;yes;veg&fruit;USA;22;22;1;0,25;0,25
4;Quorn;yes;veg&fruit;UK;37;37;1;0,3;0,3
4;Chunky Salsa;;veg&fruit;Sweden;24;24;1;0,35;0,35
4;Red Lentils;yes;veg&fruit;Italy;13;13;1;0,4;0,4
4;Black Eyed Peas;;veg&fruit;Italy;11;11;1;0,4;0,4
4;Sallad;;veg&fruit;Sweden;17;68;4;0,1;0,4
4;Kalamata olives;yes;veg&fruit;Greece;32;64;2;0,29;0,58
4;Fennel;;veg&fruit;Sweden;;23;2;;0,6
4;Olive Oil;;veg&fruit;Spain;32;32;1;0,75;0,75
4;Rapeseed Oil;;veg&fruit;Belgium;16;16;1;0,75;0,75
4;Celery;;veg&fruit;Sweden;20;40;2;0,45;0,9
4;Beets;yes;veg&fruit;Sweden;21;21;1;1;1
4;Leek;;veg&fruit;Holland;;15;2;;1
4;Oranges red;;veg&fruit;Spanien;;17;1;;1
4;Clementin;;veg&fruit;Spain;;13;2;;1,2
4;Onion;yes;veg&fruit;Sweden;18;54;3;0,5;1,5
4;Tomato cherry;;veg&fruit;Spain;22;132;6;0,25;1,5
4;Carrots;yes;veg&fruit;Sweden;20;40;2;1;2
4;Tomato conserve;yes;veg&fruit;Italy;16;96;6;0,4;2,4
4;Apple;yes;veg&fruit;Italy;20;160;8;0,5;4
4;Oranges;;veg&fruit;Italy;;60;4;;4
4;Proviva Blåbär;;veg&fruit;Sweden;20;140;7;1;7
4;Wine;;wine;Italy;159;159;1;1,5;1,5
5;Bread;;cereals;Sweden;30;150;5;0,6;3
